,Country,Year,Total Production,Exportable Production
437,Nigeria,1997/98,44.667,4.667
438,Panama,1997/98,217.46900000000002,136.85399999999998
439,Sierra Leone,1997/98,49.678999999999995,44.678999999999995
440,Sri Lanka,1997/98,57.583999999999996,37.584
441,Thailand,1997/98,1293.076,903.076
442,Togo,1997/98,221.078,220.078
443,Trinidad & Tobago,1997/98,19.392,5.392
444,Uganda,1997/98,3439.868,3338.678
445,Venezuela,1997/98,951.285,0.0
446,Vietnam,1997/98,6978.941999999999,6664.884
447,Yemen,1997/98,,0.0
448,Angola,1998/99,85.344,55.343999999999994
449,Bolivia,1998/99,149.985,104.985
450,Brazil,1998/99,36760.8533,24560.8533
451,Burundi,1998/99,491.99199999999996,489.99199999999996
452,Ecuador,1998/99,1205.968,905.9680000000001
453,Indonesia,1998/99,7295.955,5717.955
454,Madagascar,1998/99,991.799,824.799
455,Malawi,1998/99,64.321,62.321000000000005
456,Papua New Guinea,1998/99,1352.149,1351.149
457,Paraguay,1998/99,58.347,38.347
458,Peru,1998/99,2102.298,1902.2979999999998
459,Rwanda,1998/99,222.637,219.637
460,Timor-Leste,1998/99,,0.0
461,Zimbabwe,1998/99,149.45,145.45
462,"Congo, Rep. of",1998/99,3.0,0.0
463,Cuba,1998/99,279.953,79.953
464,Dominican Republic,1998/99,486.592,161.592
465,Haiti,1998/99,439.24699999999996,109.24700000000001
466,Philippines,1998/99,676.7289999999999,0.0
467,Tanzania,1998/99,739.312,722.312
468,Zambia,1998/99,61.68600000000001,61.086000000000006
469,Benin,1998/99,0.0,0.0
470,Cameroon,1998/99,1113.94,1013.94
471,Central African Republic,1998/99,214.582,195.582
472,Colombia,1998/99,10979.094,9379.094000000001
473,"Congo, Dem. Rep. of",1998/99,738.0830000000001,538.0830000000001
474,Costa Rica,1998/99,2445.12,2070.12
475,Côte d'Ivoire,1998/99,1991.547,1941.547
476,El Salvador,1998/99,2054.6279999999997,1862.961
477,Equatorial Guinea,1998/99,1.036,1.036
478,Ethiopia,1998/99,2927.725,1111.725
479,Gabon,1998/99,3.765,2.965
480,Ghana,1998/99,54.43600000000001,53.43600000000001
481,Guatemala,1998/99,4892.964,4592.964
482,Guinea,1998/99,421.26599999999996,371.26599999999996
483,Guyana,1998/99,5.9811,1.1141
484,Honduras,1998/99,2195.145,2057.145
485,India,1998/99,4416.768,3583.768
486,Jamaica,1998/99,29.083000000000002,14.283
487,Kenya,1998/99,1172.882,1122.882
488,"Lao, People's Dem. Rep. of",1998/99,171.424,171.424
489,Liberia,1998/99,17.779,12.779000000000002
490,Mexico,1998/99,4801.348,3693.348
491,Nepal,1998/99,,0.0
492,Nicaragua,1998/99,1073.08,946.58
493,Nigeria,1998/99,53.405,13.405
494,Panama,1998/99,191.99599999999998,124.99600000000001
495,Sierra Leone,1998/99,26.881999999999998,21.881999999999998
496,Sri Lanka,1998/99,45.738,15.738
497,Thailand,1998/99,915.9860000000001,482.986
498,Togo,1998/99,321.486,319.486
499,Trinidad & Tobago,1998/99,17.018,3.0180000000000002
500,Uganda,1998/99,3385.8390000000004,3269.8390000000004
501,Venezuela,1998/99,1597.279,507.439
502,Vietnam,1998/99,7051.722,6720.203
503,Yemen,1998/99,68.7007,68.7007
504,Angola,1999/00,54.93899999999999,34.939
505,Bolivia,1999/00,183.702,123.70200000000001
506,Brazil,1999/00,47577.8065,34877.8065
507,Burundi,1999/00,350.55,348.55
508,Ecuador,1999/00,1197.6832,967.6832
509,Indonesia,1999/00,6557.0662,4931.0662
510,Madagascar,1999/00,427.31699999999995,371.31699999999995
511,Malawi,1999/00,59.0,58.0
512,Papua New Guinea,1999/00,1387.0519,1385.0519
513,Paraguay,1999/00,20.241,241.0
514,Peru,1999/00,2743.533,2543.533
515,Rwanda,1999/00,307.275,305.275
516,Timor-Leste,1999/00,,0.0
